l (deg),b (deg),distance (pc)
153.4728959,-47.49078864,406.9815133
127.3466277,-40.84157547,5322.063268
149.8953186,-51.39776866,508.15065
129.7208306,-47.83112598,2900.885791
145.5257771,-58.62035746,769.1588113
131.9105753,-53.2895094,2222.868173
143.0998628,-57.85055739,856.5335114
130.3473163,-53.93398611,3212.178345
178.9242075,-57.59873185,305.9039529
175.5720264,-64.74980689,412.8193942
